en,de,es,fr,it,ru
,,,,,
menu,Menü,,,,
Keyboard:,Tastatur:,,,,
LEFT ARROW – toggle game menu.,LINKER PFEIL – Spiel–Menü ein/aus.,,,,
UP ARROW / I – toggle inventory.,PFEIL NACH OBEN / I – Inventar ein/aus.,,,,
RIGHT ARROW – toggle notebook.,RECHTER PFEIL – Notizbuch ein/aus.,,,,
TAB KEY – skip a cutscene or dialogue sequence.,TABULATORTASTE – Zwischensequenz oder Dialogsequenz überspringen.,,,,
Mouse:,Maus:,,,,
CLICK AND HOLD on a room object or inventory item to interact with it.,"Auf ein Objekt am Bildschirm oder einen Gegenstand im Inventar KLICKEN UND GEKLICKT HALTEN, um damit zu interagieren.",,,,
"CLICK on an inventory item to set it as the game cursor, then click to use that item with objects in the world.","Auf einen Gegenstand im Inventar KLICKEN, um ihn als Cursor zu übernehmen, dann klicken, um diesen Gegenstand mit Objekten in der Welt zu verwenden.",,,,
DOUBLE-CLICK to clear an inventory item cursor.,"DOPPELKLICKEN, um den Gegenstandscursor zu löschen.",,,,
TOUCH BOTTOM OF SCREEN for game controls.,Spielsteuerung: BERÜHRE DEN UNTEREN TEIL DES BILDSCHIRMS.,,,,
,,,,,
ui,UI,,,,
Inventory,Inventar,,,,
Insignia Rings,Insignienringe
Menu,Menü
Notebook,Notizbuch
Loading…,Laden&nbsp;...
Load Error,Ladefehler
A Stitch in Time Saves Nine,A Stitch in Time Saves Nine
,
inventory,Inventar
Help me,Hilf mir
Fishing club,Angelverein
Milk,Milch
Daily Mail,Daily Mail
Yummy Noodles,Leckere Nudeln
,
cutscene_intro,cutscene_intro
Who are you?,Wer sind Sie?
What do you want from me?,Was wollen Sie von mir?
"Don't worry, I just want to know…","Keine Sorge, ich möchte nur wissen&nbsp;..."
What makes you tick?!,Was bewegt Sie?!
"The next day, a young man's adventure will begin.",Am nächsten Tag beginnt das Abenteuer eines jungen Mannes.
Here he comes.,Da kommt er.
This young man's name is Nigel Trelawney.,Dieser junge Mann heißt Nigel Trelawney.
"Upon receiving notice of his father's death, Nigel has traveled to the small town of Ravenhollow.","Sobald er vom Tod seines Vaters erfahren hatte, reiste Nigel zu der kleinen Stadt Ravenhollow."
He has come to settle his father's estate.,"Er ist gekommen, um den Nachlass seines Vaters zu regeln."
"However, Nigel will soon discover that the shadow of a nearby castle has fallen over this small town and its inhabitants.","Allerdings wird Nigel bald feststellen, dass der Schatten eines nahen Schlosses über diese kleine Stadt und ihre Einwohner gesunken ist."
Little does Nigel expect that his quest may yet shape the fate of a kidnapped girl and all of Ravenhollow.,"Noch weiß Nigel nicht, dass seine Suche das Schicksal eines entführten Mädchens und ganz Ravenhollow bestimmen wird."
…and that along his path adventure awaits him.,... und das ihm auf seinen Weg ein Abenteuer erwartet.
A Matt Kempke and Greg MacWilliam Game,Ein Spiel von Matt Kempke und Greg MacWilliam
Lead Artist,Leitender Künstler
Character Design and Additional Art,Charakter–Design und künstlerische Darstellung
Backbround Painting,Hintergrundbilder
Lassie Engine Programming,Lassie–Engine–Programmierung
With Music by,Mit Musik von
